User_ID,Feature,Interaction_Count,Total_Interaction_Time_Minutes,Timestamp,ID_Date
1,Feature A,62,224.9,2025-01-05 16:32:18,20250105
1,Feature B,24,57.3,2025-01-15 18:07:46,20250115
1,Feature C,73,89.6,2025-02-15 18:07:56,20250215
2,Feature A,5,10.7,2025-02-13 20:37:49,20250213
2,Feature B,50,170.2,2025-02-22 02:44:39,20250222
2,Feature C,4,18.5,2025-01-15 00:12:28,20250115
3,Feature A,12,14.0,2025-02-25 13:44:43,20250225
3,Feature B,85,316.8,2025-03-17 03:05:33,20250317
3,Feature C,5,20.0,2025-03-25 17:51:18,20250325
4,Feature A,15,33.8,2025-03-15 15:55:35,20250315
4,Feature B,94,339.5,2025-01-23 23:13:24,20250123
4,Feature C,22,43.7,2025-01-23 14:28:06,20250123
5,Feature A,52,118.3,2025-03-15 19:52:49,20250315
5,Feature B,29,64.7,2025-01-12 13:55:58,20250112
5,Feature C,86,319.1,2025-02-24 21:30:04,20250224
6,Feature A,16,70.4,2025-01-03 15:40:01,20250103
6,Feature B,97,384.9,2025-03-18 10:43:57,20250318
6,Feature C,84,309.2,2025-01-21 04:45:41,20250121
7,Feature A,85,114.7,2025-01-19 16:52:21,20250119
7,Feature B,47,124.7,2025-02-02 19:50:36,20250202
7,Feature C,41,132.9,2025-03-07 18:24:36,20250307
8,Feature A,8,18.3,2025-02-16 02:58:09,20250216
8,Feature B,43,57.0,2025-03-18 21:22:08,20250318
8,Feature C,47,150.0,2025-03-21 08:43:18,20250321
9,Feature A,78,110.6,2025-02-14 02:05:01,20250214
9,Feature B,80,324.6,2025-02-25 02:21:42,20250225
9,Feature C,56,88.9,2025-01-29 01:55:37,20250129
10,Feature A,70,345.2,2025-02-20 13:31:12,20250220
10,Feature B,79,350.6,2025-01-05 17:05:01,20250105
10,Feature C,22,35.9,2025-01-16 10:06:37,20250116
11,Feature A,84,160.5,2025-01-06 18:11:09,20250106
11,Feature B,45,194.6,2025-03-24 04:10:36,20250324
11,Feature C,71,162.4,2025-02-02 05:20:47,20250202
12,Feature A,49,227.5,2025-03-10 03:44:20,20250310
12,Feature B,3,10.1,2025-01-22 19:24:43,20250122
12,Feature C,70,319.8,2025-03-16 11:57:05,20250316
13,Feature A,26,119.2,2025-01-22 19:23:43,20250122
13,Feature B,23,32.9,2025-03-24 12:46:55,20250324
13,Feature C,63,164.4,2025-02-03 02:04:00,20250203
14,Feature A,1,3.9,2025-01-05 04:13:14,20250105
14,Feature B,40,141.9,2025-01-12 06:22:33,20250112
14,Feature C,69,187.5,2025-01-29 18:29:24,20250129
15,Feature A,91,252.5,2025-01-10 19:24:08,20250110
15,Feature B,13,51.1,2025-03-08 08:56:27,20250308
15,Feature C,4,14.1,2025-03-28 01:45:17,20250328
16,Feature A,8,23.1,2025-03-15 22:59:26,20250315
16,Feature B,0,0.0,2025-02-05 16:53:17,20250205
16,Feature C,81,84.0,2025-03-02 16:36:48,20250302
17,Feature A,40,101.2,2025-01-24 15:51:51,20250124
17,Feature B,34,115.5,2025-03-08 06:15:01,20250308
17,Feature C,14,25.7,2025-01-16 16:11:48,20250116
18,Feature A,78,279.6,2025-01-20 10:45:59,20250120
18,Feature B,58,248.1,2025-03-03 23:21:35,20250303
18,Feature C,35,116.1,2025-01-14 07:16:38,20250114
19,Feature A,21,43.8,2025-02-02 02:53:23,20250202
19,Feature B,46,183.6,2025-01-25 00:24:07,20250125
19,Feature C,86,196.5,2025-01-25 17:37:29,20250125
20,Feature A,6,18.2,2025-02-01 03:16:36,20250201
20,Feature B,37,135.1,2025-03-05 16:32:43,20250305
20,Feature C,53,231.4,2025-02-01 18:22:11,20250201
21,Feature A,56,84.1,2025-01-24 19:29:42,20250124
21,Feature B,42,68.0,2025-01-06 05:31:49,20250106
21,Feature C,86,178.8,2025-02-15 16:14:59,20250215
22,Feature A,14,63.5,2025-02-26 12:28:15,20250226
22,Feature B,49,71.0,2025-02-18 09:52:59,20250218
22,Feature C,53,120.9,2025-01-24 17:40:37,20250124
23,Feature A,33,134.9,2025-02-07 10:27:21,20250207
23,Feature B,60,139.2,2025-01-25 15:37:58,20250125
23,Feature C,81,342.8,2025-01-01 09:46:08,20250101
24,Feature A,99,411.4,2025-01-21 23:45:42,20250121
24,Feature B,19,88.5,2025-01-02 23:29:27,20250102
24,Feature C,27,96.7,2025-03-24 00:22:10,20250324
25,Feature A,14,52.5,2025-02-27 07:39:47,20250227
25,Feature B,34,89.0,2025-01-29 01:20:04,20250129
25,Feature C,7,26.9,2025-01-26 23:24:36,20250126
26,Feature A,71,304.6,2025-01-30 02:28:46,20250130
26,Feature B,27,76.6,2025-03-19 14:05:10,20250319
26,Feature C,67,155.0,2025-01-11 20:32:24,20250111
27,Feature A,74,259.3,2025-02-27 10:27:59,20250227
27,Feature B,71,156.7,2025-01-29 08:03:18,20250129
27,Feature C,51,92.4,2025-02-21 08:11:01,20250221
28,Feature A,54,111.2,2025-01-02 12:51:27,20250102
28,Feature B,25,111.4,2025-02-11 08:17:46,20250211
28,Feature C,54,227.4,2025-01-02 11:29:29,20250102
29,Feature A,42,111.3,2025-01-28 05:19:40,20250128
29,Feature B,95,123.8,2025-02-23 20:42:50,20250223
29,Feature C,31,113.2,2025-03-24 12:53:17,20250324
30,Feature A,45,176.6,2025-02-16 09:37:30,20250216
30,Feature B,48,81.0,2025-02-04 01:19:15,20250204
30,Feature C,27,93.9,2025-03-20 23:55:12,20250320
31,Feature A,97,448.3,2025-01-21 00:38:04,20250121
31,Feature B,44,214.1,2025-02-03 01:01:00,20250203
31,Feature C,93,146.0,2025-02-02 00:37:33,20250202
32,Feature A,61,200.3,2025-01-18 16:53:07,20250118
32,Feature B,66,74.3,2025-01-19 13:39:34,20250119
32,Feature C,92,380.9,2025-02-02 10:24:06,20250202
33,Feature A,31,83.2,2025-02-24 19:36:31,20250224
33,Feature B,1,4.9,2025-03-07 23:16:10,20250307
33,Feature C,79,263.5,2025-01-16 18:09:02,20250116
34,Feature A,40,164.3,2025-03-28 01:49:32,20250328
34,Feature B,55,170.2,2025-01-19 07:32:35,20250119
34,Feature C,41,101.5,2025-03-29 20:03:32,20250329
35,Feature A,17,49.4,2025-02-27 08:11:56,20250227
35,Feature B,44,165.8,2025-02-08 14:13:17,20250208
35,Feature C,11,26.5,2025-01-03 23:31:10,20250103
36,Feature A,14,37.4,2025-01-14 01:47:18,20250114
36,Feature B,59,86.5,2025-02-22 12:22:29,20250222
36,Feature C,52,243.7,2025-03-21 03:31:33,20250321
37,Feature A,51,246.9,2025-03-29 17:02:50,20250329
37,Feature B,13,17.9,2025-03-18 18:12:12,20250318
37,Feature C,12,53.1,2025-03-08 02:35:11,20250308
38,Feature A,36,105.4,2025-02-13 13:45:19,20250213
38,Feature B,34,129.0,2025-02-16 00:06:56,20250216
38,Feature C,62,232.3,2025-01-18 21:16:14,20250118
39,Feature A,5,15.3,2025-01-13 20:36:52,20250113
39,Feature B,85,143.5,2025-03-03 04:32:35,20250303
39,Feature C,90,328.2,2025-02-27 07:35:47,20250227
40,Feature A,18,76.1,2025-03-21 03:52:30,20250321
40,Feature B,73,153.7,2025-03-08 11:52:17,20250308
40,Feature C,96,194.1,2025-03-02 17:21:48,20250302
41,Feature A,38,136.6,2025-03-14 05:36:18,20250314
41,Feature B,33,54.9,2025-03-22 00:02:08,20250322
41,Feature C,33,84.1,2025-02-24 22:48:12,20250224
42,Feature A,71,312.3,2025-01-30 07:19:59,20250130
42,Feature B,76,115.8,2025-03-03 07:00:30,20250303
42,Feature C,5,23.0,2025-03-13 19:12:26,20250313
43,Feature A,7,17.6,2025-02-02 01:14:33,20250202
43,Feature B,54,211.8,2025-01-14 09:22:39,20250114
43,Feature C,97,185.1,2025-03-22 04:36:25,20250322
44,Feature A,27,65.0,2025-03-29 04:36:59,20250329
44,Feature B,22,42.3,2025-03-15 15:56:29,20250315
44,Feature C,3,11.4,2025-03-13 13:14:44,20250313
45,Feature A,98,258.2,2025-01-24 04:14:42,20250124
45,Feature B,22,92.7,2025-03-14 17:03:27,20250314
45,Feature C,29,91.0,2025-03-08 01:57:57,20250308
46,Feature A,45,49.9,2025-03-20 07:18:46,20250320
46,Feature B,16,77.7,2025-03-22 23:55:04,20250322
46,Feature C,28,52.0,2025-01-16 21:38:36,20250116
47,Feature A,14,28.2,2025-03-07 12:50:02,20250307
47,Feature B,95,291.4,2025-02-09 16:38:57,20250209
47,Feature C,50,91.9,2025-03-16 18:49:58,20250316
48,Feature A,93,368.7,2025-02-17 14:41:46,20250217
48,Feature B,13,36.0,2025-02-19 02:00:35,20250219
48,Feature C,26,104.1,2025-01-17 18:43:50,20250117
49,Feature A,98,122.8,2025-01-15 09:31:27,20250115
49,Feature B,8,24.6,2025-01-14 06:01:07,20250114
49,Feature C,0,0.0,2025-03-24 16:03:40,20250324
50,Feature A,74,275.2,2025-02-17 08:47:40,20250217
50,Feature B,38,97.3,2025-02-08 21:46:35,20250208
50,Feature C,31,78.0,2025-02-22 15:48:38,20250222
51,Feature A,4,6.8,2025-03-10 18:33:30,20250310
51,Feature B,92,453.6,2025-03-28 00:49:40,20250328
51,Feature C,44,153.6,2025-01-27 18:41:30,20250127
52,Feature A,13,17.6,2025-03-27 09:53:01,20250327
52,Feature B,39,52.0,2025-03-19 22:48:10,20250319
52,Feature C,81,102.8,2025-01-29 00:44:20,20250129
53,Feature A,61,66.9,2025-03-09 01:19:16,20250309
53,Feature B,33,162.3,2025-01-21 05:29:52,20250121
53,Feature C,70,320.0,2025-03-03 01:35:36,20250303
54,Feature A,83,251.6,2025-02-22 03:13:09,20250222
54,Feature B,65,263.4,2025-03-03 18:41:17,20250303
54,Feature C,91,238.4,2025-02-14 11:49:17,20250214
55,Feature A,68,228.1,2025-01-03 22:37:27,20250103
55,Feature B,12,46.5,2025-02-05 07:08:29,20250205
55,Feature C,98,107.2,2025-03-30 00:30:06,20250330
56,Feature A,63,67.4,2025-01-28 10:40:47,20250128
56,Feature B,77,180.5,2025-01-01 08:41:58,20250101
56,Feature C,12,20.2,2025-03-05 12:41:47,20250305
57,Feature A,45,196.5,2025-01-18 11:18:19,20250118
57,Feature B,45,194.7,2025-03-28 11:37:03,20250328
57,Feature C,7,9.7,2025-03-23 05:36:13,20250323
58,Feature A,7,26.2,2025-01-21 23:31:31,20250121
58,Feature B,0,0.0,2025-02-01 10:33:09,20250201
58,Feature C,21,97.8,2025-01-05 07:45:54,20250105
59,Feature A,63,288.5,2025-02-06 05:11:06,20250206
